Element,Row,Col,Lattice,N_unit,TotEngBulk,BulkE,AtomE,bulkmod,keldAE,keldBM,DFT atomE,ErrAtomE,xc_contribs
Rh,5,9,fcc,4,-494.78602,-123.696505,-118.7803547,1.789815,5.75,,4.92,-0.83,"[[-3531.659963736682, 3273.2117362391296, -2798.931011708024, 2180.693616547874, -1504.2089221629244, 854.041400656311, -299.70881016856674, -114.1468019982749], [696.2174836582585, -635.9220230335136, 523.0047756804192, -373.7635187693045, 210.21306875021764, -55.16115000532773, -71.90448512554485, 157.8902864196848], [985.5049332628637, -932.135723379361, 833.1139016356187, -702.8174611216759, 558.1173234199755, -414.30084944627424, 282.6908913062225, -169.61748822868367], [-12.507335102672641, 20.766771833221355, -36.10160872621327, 55.42518695029685, -74.7794863273707, 90.38380909523494, -98.79964146110251, 97.25906809449089], [-1037.1658048844624, 965.7528073031585, -833.9076055513788, 660.0150696961823, -466.6218891861454, 276.74533390337183, -110.00762331835995, -19.951039071428113], [462.919269370796, -434.74995553272265, 380.79757784891217, -306.4329972378355, 219.17553568656786, -127.60083891981367, 40.495879564768074, 34.278922115413934], [336.13057485045147, -315.0444061943449, 276.9470040636179, -229.17881379736173, 179.85805824531872, -135.88092353288948, 101.6710752932272, -78.47428874625211], [-96.81251452560537, 95.27769355093778, -92.203973897178, 87.23738909302256, -80.16215007044002, 71.11609226070004, -60.34633794970705, 48.098811007749646]]"
Ir,6,9,fcc,4,-1183.457406,-295.8643515,-288.485507,2.556324,6.94,,7.38,0.44,"[[-8930.497773636607, 8407.222829235172, -7432.609235038182, 6132.130112325138, -4661.085978037638, 3179.547266310452, -1828.12334233009, 709.3448886525366], [1244.495509808712, -1121.0840389507066, 894.1318163741907, -602.2515552083514, 294.62772813175434, -19.76724324204588, -184.08327862197984, 295.7334407885992], [3110.8487033841884, -3003.75137492029, 2795.2887967104307, -2497.9713448483126, 2129.3238516975252, -1710.1818402865629, 1264.0280844327353, -815.9323377099554], [29.08739462718404, 5.725265495657368, -68.28370476295095, 145.0696194897937, -219.50505361807154, 275.48822734869464, -300.10979059353303, 285.9643369607493], [-3040.0136743648072, 2865.837000596315, -2539.8893146784667, 2101.8320569128155, -1601.9000603056174, 1092.9717984098115, -622.8584075099843, 228.3651400937615], [887.1625484921515, -826.6333780533405, 713.5935170375724, -563.557791199999, 396.4200453814956, -232.448949786889, 88.82637362422429, 22.778795800686567], [1632.9816651698366, -1571.3907797503634, 1452.4721435885695, -1285.0932105003885, 1081.4102918645767, -855.4435767366285, 622.086736828549, -396.04438830155414], [-268.762462527533, 277.50335213250037, -291.49236889568965, 304.17092941168994, -308.064964302539, 296.8209214643266, -266.3716653158972, 215.74836490864618]]"
Ni,4,10,fcc,4,-243.102196,-60.775549,-56.56012498,1.3146,4.44,,4.22,-0.22,"[[-1594.3772125452467, 1448.1169953812066, -1185.043137440211, 853.7141556036388, -509.3603608316437, 202.20133574284932, 32.01526826865302, -177.0173400541678], [423.19898858461534, -384.9518834973171, 313.6935337164816, -219.61317446428598, 116.60689091122731, -19.63633249000577, -58.37206413621857, 108.89839447131726], [280.89542392576436, -258.8500566636974, 220.02037792896067, -173.51471116440325, 128.8879668471186, -93.2190491570509, 69.49121836302629, -56.273376970646495], [35.12668109008109, -28.594952145247134, 16.7440646056923, -1.7248207006803113, -13.799031366049576, 27.40945205887965, -37.364289561140595, 42.39952043010612], [-395.0354571290534, 360.77634180432074, -298.87619833511985, 220.00900541361148, -136.6444451128766, 60.66725994393687, -0.9968818091597313, -37.849905397911925], [238.27540991623505, -222.1129509056102, 191.41556097214038, -149.26109347360898, 100.05878933039708, -49.05133653054395, 1.6484476675002497, 37.217526050386596], [-15.15094534952027, 17.43526001987516, -20.133817554613415, 20.00796192944904, -14.21770546947755, 1.5305177915370223, 17.263290001006, -39.2718699663792], [48.99304140582149, -44.413986664644426, 35.90293025775418, -24.479962733951425, 11.441959659755867, 1.8929939772763191, -14.343259206379798, 24.772349362433715]]"
Pd,5,10,fcc,4,-498.064002,-124.5160005,-121.0708634,1.175605,3.89,,3.45,-0.44,"[[-3669.9035210817715, 3404.6824266916174, -2917.3659814017087, 2281.432259201695, -1584.6375237495126, 913.267583085928, -338.22535245430527, -94.6224751196819], [702.3029309595995, -642.5503598103278, 529.7748251015018, -379.3937579243593, 213.42210430953673, -55.503316441587685, -73.87844969003254, 161.07513901213997], [1043.9612133297887, -989.2689081799913, 886.7487818058544, -750.4081358585695, 597.8034808972452, -445.2792249305335, 304.9681588810008, -183.58548420949], [-10.243953440204677, 20.151431549544668, -38.14543162609607, 59.946163923942095, -80.60630541101591, 96.16697121862444, -103.68010757909951, 100.9924363521036], [-1092.7080129255955, 1019.696134784429, -883.7588400657596, 702.6196440552094, -499.3841026764908, 298.752142277046, -122.14823822518474, -15.700855001397485], [487.3486420949721, -457.72377416619975, 401.2645338641805, -323.6964289093312, 232.4064673727853, -135.82195154301098, 43.22808082428264, 36.497726230588796], [368.33958869816615, -346.48321591448484, 306.59733959807545, -255.6670165385981, 201.62419124398002, -151.8014064002232, 111.79521250517473, -83.99072613732778], [-120.6908210071797, 118.0018523439926, -112.5897123297018, 104.31189726733692, -93.44933925377654, 80.38743238105008, -65.31534377125308, 48.69998751762114]]"
Pt,6,10,fcc,4,-1197.749553,-299.4373883,-293.9211592,1.79671,5.84,,5.52,-0.32,"[[-9136.625694000146, 8603.599645677818, -7610.199849860822, 6284.106172109152, -4783.84158521629, 3272.6672347333933, -1893.740467183923, 751.1673805194532], [1266.884773136735, -1140.2404155155218, 907.9727488080025, -609.9363062260836, 296.47068954311, -17.232487536779445, -188.75482609572828, 300.15027181704136], [3191.373815445355, -3082.6855311422732, 2871.2314268209575, -2569.200213252875, 2193.643616687923, -1765.2591602121865, 1307.720871145204, -846.6259689251074], [32.48071388201606, 4.756802725085436, -71.0521449952721, 151.67281390697826, -229.01667802740667, 286.25601121825093, -310.2734318595303, 293.8833545657162], [-3116.366958807983, 2938.5086883959175, -2605.2499765747634, 2157.039517577954, -1645.474920058331, 1124.9198649856535, -644.4111651600051, 241.4074226971079], [904.6331185775925, -842.4260553563254, 726.644639381062, -573.3489574232099, 402.8305884617421, -235.79786741908356, 89.9165827441011, 22.79741527821534], [1678.5059234446126, -1616.197116415834, 1495.870715122508, -1326.00941610882, 1118.2686324810402, -886.5856654620911, 646.2739779289641, -412.63732525272826], [-270.02688843380565, 280.4401204886144, -296.96928005281734, 312.20521671731876, -317.9857411936664, 307.33431927307174, -275.86914006785446, 222.87311636444247]]"
Cu,4,11,fcc,4,-242.102974,-60.5257435,-57.09969191,0.940618,3.49,,3.43,-0.06,"[[-1700.5445809345924, 1548.8169999532147, -1275.2871661315116, 929.2547609668545, -566.9033620190166, 239.85565566615105, 14.071956342614385, -176.10579935127316], [427.2723390837882, -389.0657825106789, 317.10651186950145, -221.49921288042788, 116.68914858189737, -18.206384231834136, -60.66718997591306, 111.47172069548537], [334.0456739967776, -309.7121678472138, 265.9887011281803, -212.02765366240578, 158.21300319585384, -112.84490251980696, 79.99105805109684, -59.04839256974515], [38.76516236434304, -31.60474352142205, 18.416552593578672, -1.8239195949477107, -15.026174413116905, 29.566116148934498, -39.99511939724289, 45.03577886516223], [-451.3697115199184, 413.83591040127294, -345.45663672283195, 257.3134781902727, -162.89784004642956, 75.64944629940283, -6.053551652913711, -40.2954899320373], [259.8271321128527, -242.54588397066345, 209.62918614824775, -164.54742080334609, 111.85389586466658, -56.6947210015544, 4.719227746817523, 38.60899187643736], [13.82344426931786, -9.461724239402429, 3.0376691021153874, 1.7027684928791587, -1.3939296902922251, -5.908147201807424, 20.274925887788413, -39.52477061233708], [22.549064673170733, -19.423881474661584, 13.688788217867113, -6.274166543093088, -1.95477986150172, 10.192296328693828, -17.52257526194444, 23.139782807330903]]"
Ag,5,11,fcc,4,-512.121787,-128.0304468,-125.6186576,,2.95,,2.41,-0.54,"[[-3803.9916170350502, 3531.538682313085, -3030.4997313802814, 2375.708171890554, -1656.9895592006364, 963.1973851577395, -367.69527960061896, -81.89894632329288], [721.0954582073664, -658.7329114480149, 542.0647413882125, -387.6813705523632, 218.13670442891907, -57.1893132785699, -74.7463845883567, 163.92868854022072], [1095.9973210258486, -1038.2681636582688, 930.8969668423297, -788.9128329800055, 630.1241848354584, -470.9580635770908, 323.80908106562765, -195.78641167069281], [-13.63854207879649, 23.61479345470525, -41.574621746885896, 63.478565679197345, -84.61787757947968, 100.8354885049066, -108.7025200807152, 105.59264672787867], [-1138.699206399212, 1062.2864951582096, -920.4288930908106, 732.2060332128722, -521.8490632020944, 314.53474069372805, -131.79334950349448, -11.48615238999082], [499.68942713588604, -469.53411818385484, 412.1220609702168, -333.02732558183106, 239.70357529030298, -140.97856464903361, 46.4116917240799, 35.087984152927675], [397.2659127958941, -373.3687571545156, 330.0372043232537, -274.9870499002118, 216.7701141978696, -163.19520199900535, 119.93623900646617, -89.13271443916483], [-129.66090471598818, 127.10538583152083, -121.75276527287406, 113.32714826471329, -101.81752626979278, 87.39259322787893, -70.45095202956145, 51.80694465832585]]"
Au,6,11,fcc,4,-1213.729732,-303.432433,-300.38678,0.953672,3.81,,3.05,-0.76,"[[-9346.533974958524, 8803.369383880869, -7791.07138313257, 6439.701302636633, -4910.742036690258, 3370.450748261843, -1964.4065446546, 798.1494066143914], [1288.6268290124717, -1158.8594897292332, 921.1593224415083, -616.6849060500663, 297.2675003613149, -13.795946316540721, -194.03365289523754, 304.8421563083939], [3273.235933380969, -3163.3366650971566, 2949.251547922984, -2642.7773840244145, 2260.539037656874, -1822.9801498181887, 1353.835001418629, -879.2337893083168], [36.30773170688917, 2.9485540893856523, -72.66590649182399, 157.0817740714192, -237.53842143444854, 296.51358983453065, -320.57238812357537, 302.5021427010179], [-3195.1366961829845, 3013.166845644135, -2672.2505125479984, 2213.724973920116, -1690.5117490859584, 1158.4841642138235, -667.7748197060482, 256.28983664110456], [923.3353169190668, -859.2515774619278, 740.2074827967372, -583.0678153723657, 408.8175521531484, -238.64519837377156, 90.67735861414076, 22.821281569580606], [1727.0557870958655, -1664.0614030197385, 1542.2323338253082, -1369.7217176973081, 1157.7195454140056, -920.0417157175598, 672.3696703586484, -430.5468343754583], [-274.3986883096968, 285.7300183111656, -303.72987323526286, 320.58374039252703, -327.6652546146943, 317.40121946090403, -284.9993504076756, 229.84639594209875]]"
Zn,4,12,hcp,2,-123.11952,-61.55976,-60.21974234,0.51455,1.35,,1.34,-0.01,"[[-1802.3539312014082, 1644.3905990560224, -1358.589056176651, 995.5277962114105, -614.0433614616247, 268.8092013087735, 0.2401779416265981, -173.74150173174007], [444.274575691913, -403.56866683925614, 328.5972347793713, -230.5404248304801, 123.44953396957908, -22.195899739199604, -60.03529848900689, 114.09250777669058], [371.87776149135334, -344.53341696720304, 296.05426034850916, -236.823397648865, 177.69566114146028, -127.1435427660499, 89.44742125777748, -64.15242702787441], [37.60154384604107, -29.93505771885907, 16.090207441847724, 1.3619655411316671, -19.110697982962165, 33.997435943426126, -43.8754214529647, 47.61858482013713], [-486.2078599102349, 446.05740096657246, -372.90937897425556, 278.8367961459753, -178.35417456154073, 85.32393139141732, -10.264266662878526, -40.96977938967348], [270.6409824147845, -253.26299810929072, 220.1588614556581, -174.20879088704214, 119.64847227587916, -61.936805318033294, 7.121036823276654, 38.92276318222798], [29.09294983281893, -23.993408698940584, 15.942260800709391, -8.720794716028877, 6.093771241162358, -10.550770726878, 22.455005090040913, -39.66871843650233], [16.78351655518054, -13.72100956514555, 8.233053279748901, -1.1749702996510223, -6.375144788127955, 13.39147443206889, -19.25844911558488, 23.62224485500269]]"
Cd,5,12,hcp,2,-261.23208,-130.61604,-129.7229381,0.328522,1.16,,0.89,-0.27,"[[-3938.654243643564, 3659.0184445797404, -3143.7021219663848, 2468.899494353117, -1727.2633532231962, 1010.9117570335757, -395.77838504662077, -69.20831599646408], [738.7144284478109, -673.9038907442578, 554.178782552035, -396.96451463746234, 224.47941782389444, -60.25052148683062, -75.04264586030604, 167.04009257174857], [1147.4944377771908, -1086.94043164721, 974.9717063665175, -827.3554065787839, 662.159059259794, -496.13007788449386, 342.1299668290394, -207.78309867364078], [-14.457843878310996, 25.20791995710897, -44.34273133487022, 67.83282785432493, -90.62883348169998, 107.74475225384322, -115.20629105591706, 110.45712673745311], [-1184.901907397716, 1105.3752295865825, -958.0185093106802, 763.1050884000442, -545.6635418134092, 331.1029807314708, -141.3009549686276, -8.112693529943499], [510.3649311865147, -480.32386370721906, 422.98552687499887, -343.3391383453986, 248.6163170672853, -147.80521705733918, 50.57439766619518, 33.935884736752996], [423.19249480871986, -398.16272774795834, 352.67236316276285, -294.6890120293174, 233.13812948966734, -175.97201526101617, 128.79239171371137, -93.9723015391528], [-134.31606343093426, 132.61478336919936, -128.53981696822666, 121.30645511659532, -110.2189294980044, 95.10910543644695, -76.5873730979456, 55.75265974694503]]"
Al,3,13,fcc,4,-88.541024,-22.135256,-18.70390914,0.529436,3.39,,3.43,0.04,"[[-450.8781718310163, 391.7520035411232, -291.4197690368697, 176.40485342252026, -71.91232170650551, -5.354036173767554, 50.008083330958414, -65.93522832761221], [203.24444060508046, -179.51042766798298, 137.06261451992356, -84.21203888037434, 30.677835368165972, 14.312424364969672, -44.20292814018029, 56.679107028860074], [-47.81130645878625, 43.23338184725179, -34.02476512031075, 19.845051697984616, -1.436435557700861, -18.43840085476438, 35.47257105384227, -45.30380304427405], [68.09529302368031, -60.38509627048484, 46.84868585897374, -29.898634776670576, 11.727166019139702, 5.651459995687446, -20.204733874090664, 29.82197967156509], [-103.16329643718274, 91.93870516946487, -72.7002477460893, 49.72853635953817, -27.121781544115663, 7.931553455112976, 6.336863477766087, -15.477469475510475], [96.7424916446733, -87.03303645363258, 69.91130560288951, -48.578529218027256, 26.276951966565605, -5.8926389119382065, -10.46685213270905, 21.649899572817787], [-93.41899973850411, 85.20366230017527, -69.8905741065883, 48.95061832216112, -24.558328168056903, -0.19661137829393738, 21.71854596005204, -36.71097564004566], [94.80229099205138, -85.8036172574005, 69.54010074984222, -48.39148515183069, 24.99539890169393, -2.222614983579433, -17.1226723338886, 30.69312985047935]]"
C,2,14,diamond,8,-122.704348,-15.3380435,-7.864727638,2.871422,7.37,,7.47,0.10,"[[-122.01626015268741, 98.84840031670714, -63.51176198398484, 28.969374984165512, -3.3956652478292995, -11.323274186748279, 17.45122332732717, -18.06464180580967], [88.30874394696045, -74.2595818493407, 50.75822092673653, -24.674688266477318, 2.398158019686548, 12.14312763919878, -18.34888427649888, 18.275631943166104], [-74.95718206777954, 63.180538666364384, -43.3942344484945, 20.840212471473677, -0.7636530045339214, -13.091766754800702, 19.530952795362026, -19.63908939646187], [71.0621727460327, -59.924574070411154, 41.327425248858646, -20.330363397037033, 1.5230557115398824, 11.840321062129789, -18.440169715734655, 18.935373154797162], [-67.8120565357426, 56.971284044421594, -39.19760719373771, 19.47199112727793, -2.1195898222648566, -10.090510419206197, 16.259437045723615, -17.05226912316023], [63.42950020281393, -53.610499310400996, 37.294130805827564, -18.927721604194616, 2.42368222670558, 9.549578859767507, -15.902389485017679, 16.97812235173805], [-60.00535063117667, 51.28565579498732, -36.45450547917565, 19.08117667339104, -2.862136528483944, -9.23889602328265, 15.769787601181463, -16.953203257940388], [61.36295373632461, -52.20016554915192, 36.92482006477118, -19.556254579176667, 3.6683810907547354, 8.181092749658376, -14.828926978565775, 16.45905926186822]]"
Si,3,14,diamond,8,-207.285585,-25.91069813,-21.29744416,0.614982,4.63,,4.61,-0.02,"[[-507.32849508768743, 442.70792926724937, -332.5584619756241, 205.19915149712006, -87.94954429659435, -0.3628638688545607, 52.805459046725105, -72.79634900373628], [221.62756064524422, -196.3991238264864, 151.12283820671598, -94.47699083946202, 36.627218102134975, 12.717390439181827, -46.437147545348466, 61.643166064780985], [-40.9379422144292, 37.46619839500329, -29.96261576033976, 17.432866122203563, -0.11720311204703648, -19.473661765649126, 37.02025238257602, -47.87623256112397], [64.82140552480723, -57.75779657023702, 45.31349766078358, -29.466599138715196, 12.010131185097407, 5.157037346564493, -19.95492521043127, 30.207327330805924], [-106.93175802066008, 95.70217390973482, -76.44955426653138, 53.35048667057515, -30.301363663108077, 10.292058820152192, 4.973270696492705, -15.018305668160906], [96.97728749086207, -87.58528821722581, 71.00296115845026, -50.21828002340408, 28.2221658675993, -7.74579665855947, -9.081480306260346, 20.934398459277077], [-90.27972347809259, 82.70464393762109, -68.51069269710308, 48.870849399502504, -25.557558611466675, 1.2936435678138878, 20.51963877766582, -36.51817798945797], [96.48753707022229, -87.5949489222748, 71.527135834035, -50.5234189538055, 27.019056477829167, -3.7606505605657503, -16.44813260560852, 31.135538117886426]]"
Ge,4,14,diamond,8,-577.336277,-72.16703463,-68.29091681,0.448937,3.85,,3.88,0.03,"[[-2007.5250632778793, 1836.827971828277, -1527.511381221772, 1133.0050942277226, -715.39155281748, 332.86323612452816, -28.897611008719196, -173.93505478811198], [481.7052033408304, -437.635791921962, 356.4829390386549, -250.50697886814396, 135.02349385880598, -26.02670134687787, -62.437225551467236, 120.76312700491235], [440.01984038188493, -410.0353509495892, 356.0785423351499, -288.8085384839683, 219.71610204505623, -157.98981892583538, 108.81687206426705, -72.84033236815549], [28.589224221871063, -21.222873295211684, 8.029658594844022, 8.570654175402524, -25.612636509578806, 40.073070132185876, -49.604766306843885, 52.83293430559297], [-549.4819854683071, 505.97469334823927, -426.4171082535988, 323.21909875764914, -211.50843554438507, 106.24236806169529, -19.347371809378274, -41.97052788011388], [295.7992343520914, -276.9394230689313, 241.07186025530746, -191.3880540000946, 132.50824432130048, -70.36918698590944, 11.433143814083905, 38.25680006333869], [61.53350750223899, -54.63265239035263, 43.02939095979809, -30.881762225687908, 22.500900785585145, -20.98504737493886, 27.42151303651235, -40.406487737941916], [4.648056375941906, -2.2629320025439483, -1.8985128318772695, 7.207267440736359, -12.955115320623918, 18.355514939933528, -22.839517843558042, 26.040912162283803]]"
Sn,5,14,diamond,8,-1141.494542,-142.6868178,-139.3978885,0.255533,3.14,,3.29,0.15,"[[-4210.91289521872, 3916.3772519817376, -3373.347164279931, 2661.228487465499, -1876.4595798942628, 1115.2528551874993, -457.5488705189905, -44.26563936135881], [775.528356556958, -707.0399977995658, 580.4097765370734, -414.43279316852613, 233.0855063072804, -61.254697194951405, -79.52350079933512, 174.4711129510315], [1244.920993385891, -1181.306712970837, 1063.279079639883, -906.7760211274153, 730.0719945455403, -550.4424842147982, 381.74229589118386, -232.67595352857825], [-20.776233455843794, 31.54439507311963, -50.84412989692464, 74.78601507174699, -98.33451341051386, 116.28794181607918, -124.3285161062895, 119.54809382282019], [-1269.7631073387497, 1186.2199536750222, -1031.0972086758566, 825.1588757017826, -594.3234480815536, 365.33579868518154, -161.60563012953662, 0.08097683242340281], [538.2514272996741, -506.32585712735136, 445.52768091769576, -361.41825886128845, 261.87390460601364, -156.44032365116345, 55.1977245063872, 32.477819338315385], [471.805974980909, -445.0452885149375, 396.1034470510349, -333.08112729290315, 265.19376103120794, -200.9359668929883, 146.61757758043404, -105.1696101469206], [-152.1029530167898, 149.82081668869887, -144.6945504010373, 136.09799876955913, -123.45559209619205, 106.627768395173, -86.19402982271458, 63.17356509350975]]"
Pb,6,14,fcc,4,,0,-322.0376528,,2.03,,-322.04,0.00,"[[-9973.275743489641, 9398.081633030028, -8326.16066490789, 6895.658663964712, -5278.174459707809, 3649.890850620828, -2164.067108010491, 930.4696501836861], [1367.0245006197983, -1225.2698212663508, 967.6414880391385, -640.5295884988409, 300.611123213288, -2.6483812044934893, -211.48980733247845, 320.3043287112341], [3511.064356439725, -3397.701695044985, 3176.71135628961, -2858.437010189482, 2457.374802257329, -1992.8929997388186, 1489.2884743353188, -974.8510230480497], [35.048010293201514, 8.41295280583654, -85.37710021483326, 178.31748418512507, -266.15275311591904, 328.8333650352306, -351.33816515417675, 326.3670915391067], [-3426.9300521386385, 3231.424319207743, -2866.1198287409816, 2376.518903262944, -1819.6685630913034, 1254.9164729923086, -735.0830281782873, 299.71828788734456], [988.92820978696, -918.0276884258001, 787.0267283557441, -615.3314402490287, 426.9724292399442, -245.81825727339128, 91.33181532799972, 24.292194872883556], [1859.3536066432862, -1795.043119348853, 1670.2478632714265, -1491.9978941989411, 1270.213830800647, -1017.938885657306, 750.823253708455, -485.81807758791183], [-286.0339753403987, 300.7763376446346, -324.46201919168925, 347.34985254789353, -358.5421093689656, 348.8968868852935, -313.20938226340513, 251.24925750613147]]"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,