target,currentresult,systemname,,,3.37E-01
1.78E-01,4.31E-01, dbh24_r1f,2.53E-01,,
8.55E-01,2.30E+00, dbh24_r1b,1.45E+00,,
1.49E-01,2.28E-01, dbh24_r7f,7.90E-02,,
3.05E-01,9.05E-01, dbh24_r5b,6.00E-01,,
1.10E-01,3.84E-01, dbh24_r7b,2.74E-01,,
3.57E-02,-3.68E-03, dbh24_r5f,-3.94E-02,,
6.22E-01,1.78E+00, dbh24_r3b,1.16E+00,,
7.00E-02,-2.33E-01, dbh24_r3f,-3.03E-01,,
1.78E-02,-6.83E-03, dbh24_r8f,-2.46E-02,,
4.33E-01,1.74E+00, dbh24_r8b,1.31E+00,,
1.11E-01,1.50E-01, dbh24_r11f,3.90E-02,,
1.36E-01,-6.34E-02, dbh24_r11b,-1.99E-01,,
1.83E-01,5.57E-01, dbh24_r6b,3.74E-01,,
-2.53E-02,-2.05E-01, dbh24_r6f,-1.80E-01,,
1.39E-01,3.22E-01, dbh24_r4b,1.83E-01,,
1.39E-01,3.22E-01, dbh24_r4f,1.83E-01,,
1.87E-01,4.19E-01, dbh24_r2f,2.32E-01,,
1.87E-01,4.19E-01, dbh24_r2b,2.32E-01,,
4.98E-01,1.97E+00, dbh24_r9f,1.47E+00,,
3.40E-01,1.32E+00, dbh24_r9b,9.80E-01,,
1.79E-01,4.11E-01, dbh24_r12b,2.32E-01,,
3.73E-02,-5.04E-02, dbh24_r12f,-8.77E-02,,
6.94E-02,-2.31E-01, dbh24_r10f,-3.00E-01,,
2.03E-01,3.89E-01, dbh24_r10b,1.86E-01,,