Elem,Nelec,atommag
Ag,11,1
Al,3,1
As,5,3
Au,11,1
B,3,1
Ba,10,0
Be,2,0
Br,7,1
C,4,2
Ca,10,0
Cd,12,0
Cl,7,1
Co,9,3
Cr,6,6
Cs,9,1
Cu,11,1
F,7,1
Fe,8,4
Ga,3,1
Ge,4,2
H,1,1
He,2,0
Hf,4,2
Hg,12,0
I,7,1
In,3,1
Ir,9,3
K,7,1
Kr,8,0
La,11,0
Li,1,1
Mg,2,0
Mn,7,5
Mo,6,6
N,5,3
Na,1,1
Nb,13,5
Ne,8,0
Ni,10,2
O,6,2
Os,8,4
P,5,3
Pb,4,2
Pd,10,0
Pt,10,2
Rb,9,1
Re,7,5
Rh,9,3
Ru,8,4
S,6,2
Sb,5,3
Sc,3,1
Se,6,2
Si,4,2
Sn,4,2
Sr,10,0
Ta,5,3
Te,6,2
Ti,4,2
Tl,3,1
V,5,3
W,6,4
Xe,8,0
Y,11,1
Zn,12,0
Zr,12,2
Tc,7,5