Material,Structure,"BM, Gpa https://aip.scitation.org/doi/suppl/10.1063/1.3524336/suppl_file/suppl_mat.pdf","Atomization, kJ/mol/atom"
LiH,rocksalt,40.1,240
LiF,rocksalt,76.3,430
LiCl,rocksalt,38.7,346
NaF,rocksalt,53.1,383
NaCl,rocksalt,27.6,322
MgO,rocksalt,169.8,502
SiC,zincblende,229.1,625
BN,zincblende,410.2,652
BP,zincblende,168,496
BAs,zincblende,151.1,
GaN,zincblende,213.7,439
GaP,zincblende,89.6,348
GaAs,zincblende,76.7,322
AlN,zincblende,206,564
AlP,zincblende,87.4,417
AlAs,zincblende,75,369
InP,zincblende,72,335
InAs,zincblende,58.6,297
InSb,zincblende,46.1,271