Name,Structure,Lattice A,Bulkmod GPa,Magmom,ca_ratio
Ag,fcc,4.07,105,,
AgBr,rocksalt,5.78,40,,
AgCl,rocksalt,5.56,42,,
AgF,rocksalt,4.92,58,,
Al,fcc,4.02,77,,
AlAs,zincblende,5.65,74,,
AlN,zincblende,4.37,206,,
AlP,zincblende,5.45,87,,
AlSb,zincblende,6.4,50,,
Au,fcc,4.06,180,,
Ba,bcc,5,9,,
BaO,rocksalt,5.52,68,,
BAs,zincblende,4.9,138,,
BaS,rocksalt,6,41,,
BaSe,rocksalt,6.6,36,,
Be,hcp,2.28,108,,1.568072447
BeS,zincblende,4.86,80,,
BN,zincblende,3.6,372,,
BP,zincblende,4.53,152,,
C,diamond,3.55,454,,
Ca,fcc,5.56,18,,
CaO,rocksalt,4.78,105,,
CaS,rocksalt,5.7,57,,
CaSe,rocksalt,5.8,47,,
Cd,hcp,2.98,51,,1.886
CdO,rocksalt,4.7,125,,
CdS,zincblende,5.818,64,,1.63
CdSe,zincblende,6.1,55,,1.63
CdTe,zincblende,6.7,35,,1.63
CeN,rocksalt,5.03,146,,
CeS,rocksalt,5.67,87,,
Co,hcp,2.51,198,1.72,1.6231901
CoAl,cesiumchloride,2.85,162,,
CoC,rocksalt,4.05,307,,
CoN,rocksalt,4.1,296,,
Cr,bcc,2.91,160,,
CrC,rocksalt,4.12,286,0.6,
CrN,rocksalt,4.15,150,1.3,
Cs,bcc,6.14,1.6,,
CsBr,cesiumchloride,4.393,20,,
CsCl,cesiumchloride,4.209,15,,
CsF,rocksalt,6.02,21,,
CsI,cesiumchloride,4.42,10,,
Cu,fcc,3.6,144,,
CuBr,zincblende,5.64,43,,
CuCl,zincblende,5.31,48,,
CuI,zincblende,6,36,,
Fe,bcc,2.86,175,2.22,
FeAl,cesiumchloride,2.88,136,0.35,
FeC,rocksalt,4.09,336,,
FeN,rocksalt,4.13,3,1.3,
FeTi,cesiumchloride,2.978,150,,
GaAs,zincblende,5.64,76,,
GaN,zincblende,4.52,195,,
GaP,zincblende,5.44,87,,
GaSb,zincblende,6.21,45,,
Ge,diamond,5.64,76,,
Hf,hcp,3.1964,120,,1.5802
HfC,rocksalt,4.64,236,,
HfN,rocksalt,4.53,266,,
HgSe,zincblende,6.5,41,,
HgTe,zincblende,6,36,,
In,hcp,3.2523,40,,1.5208
InAs,zincblende,6.05,58,,
InP,zincblende,5.86,71,,
InSb,zincblende,6.48,46,,
Ir,fcc,3.83,355,,
IrC,rocksalt,4.13,320,,
IrN,rocksalt,4.07,295,,
K,bcc,5.25,20,,
KBr,rocksalt,6.6,14,,
KCl,rocksalt,6.3,17,,
KF,rocksalt,5.3,17,,
KH,rocksalt,5.7,14,,
KI,rocksalt,7.21,10,,
LaC,rocksalt,5.43,81,,
LaN,rocksalt,5.3,123,,
LaS,rocksalt,5.85,79,,
LaSe,rocksalt,6.12,40,,
Li,bcc,3.44,13,,
LiCl,rocksalt,5.07,38,,
LiF,rocksalt,3.98,76,,
LiH,rocksalt,3.98,40,,
LiI,rocksalt,6,20,,
Mg,hcp,3.21,35,,1.623605658
MgCe,cesiumchloride,3.94,36,,
MgO,rocksalt,4.19,165,,
MgS,rocksalt,5.19,80,,
MnC,rocksalt,4.12,128,1.2,
MnN,rocksalt,4.2,205,1.6,
MnO,rocksalt,4.44,106,2.4,
MnS,rocksalt,5.22,43,2.4,
MnSe,rocksalt,4.538,40,,
Mo,bcc,3.14,273,,
MoC,rocksalt,4.28,345,,
MoN,rocksalt,4.21,341,,
Na,bcc,4.2,8,,
NaBr,rocksalt,5.97,27,,
NaCl,rocksalt,5.57,28,,
NaF,rocksalt,4.58,53,,
NaH,rocksalt,4.76,22,,
NaI,rocksalt,6.34,16,,
Nb,bcc,3.3,173,,
NbC,rocksalt,4.46,300,,
NbN,rocksalt,4.38,287,,
Ni,fcc,3.51,193,0.64,
NiAl,cesiumchloride,2.88,166,,
NiC,rocksalt,3.99,256,,
NiN,rocksalt,4.1,250,,
Os,hcp,2.73,418,,1.57888385
OsC,rocksalt,4.18,360,,
OsN,rocksalt,4.3,332,,
Pb,fcc,4.91,48,,
PbS,rocksalt,5.98,52,,
PbSe,rocksalt,6.2,47,,
PbTe,rocksalt,6.56,40,,
Pd,fcc,3.88,195,,
PdC,rocksalt,4.22,213,,
PdN,rocksalt,4.15,208,,
Pt,fcc,3.91,278,,
PtC,rocksalt,4.21,258,,
PtN,rocksalt,4.14,235,,
Rb,bcc,5.58,3.1,,
RbBr,rocksalt,6.88,14,,
RbCl,rocksalt,6.54,15,,
RbF,rocksalt,5.68,24,,
RbI,rocksalt,7,10,,
Re,hcp,2.761,370,,1.6139
Rh,fcc,3.79,269,,
RhC,rocksalt,4.15,289,,
RhN,rocksalt,4.08,283,,
Ru,hcp,2.71,321,,1.582283159
RuC,rocksalt,4.13,327,,
RuN,rocksalt,4.06,306,,
Sc,hcp,3.31,44,,1.593623451
ScC,rocksalt,4.72,165,,
ScN,rocksalt,4.51,215,,
SeAs,rocksalt,5.48,71,,
Si,diamond,5.41,101,,
SiC,zincblende,4.35,225,,
Sn,diamond,6.48,43,,
SnTe,rocksalt,6.3,40,,
Sr,fcc,6.05,12,,
SrO,rocksalt,5.11,87,,
SrS,rocksalt,6.03,47,,
Ta,bcc,3.3,194,,
TaC,rocksalt,4.46,338,,
TaN,rocksalt,4.34,345,,
Tc,hcp,2.735,281,,1.604
Ti,hcp,2.95,107,,1.587874475
TiC,rocksalt,4.32,233,,
TiN,rocksalt,4.23,277,,
Tl,hcp,3.4566,43,,1.5983
V,bcc,3.02,166,,
VC,rocksalt,4.15,303,,
VN,rocksalt,4.13,268,,
VO,rocksalt,4.18,60,,
W,bcc,3.16,328,,
WC,rocksalt,4.27,380,,
WN,rocksalt,4.2,368,,
Y,hcp,3.6474,41,,1.5711
YbN,rocksalt,3.484,94,,
YN,rocksalt,4.85,160,,
Zn,hcp,2.665,60,,1.856279785
ZnS,zincblende,5.19,68,,
ZnSe,zincblende,5.54,58,,
ZnTe,zincblende,6.3,46,,
Zr,hcp,3.23,83,,1.592512376
ZrC,rocksalt,4.69,207,,
ZrN,rocksalt,4.58,240,,