mat,struct,hform kj/mol
BP,zincblende,115.5
BaO,rocksalt,548.1
BaS,rocksalt,463.6
BeS,zincblende,233.5
CaO,rocksalt,634.9
CaS,rocksalt,473.2
CdO,rocksalt,258.4
CdTe,zincblende,100.8
CoAl,cesiumchloride,110.5
CoO,rocksalt,237.7
CrN,rocksalt,117.2
CsBr,cesiumchloride,405.4
CsCl,cesiumchloride,442.7
CsF,rocksalt,553.5
CsH,rocksalt,54
CsI,cesiumchloride,346.4
CuBr,zincblende,104.6
CuCl,zincblende,137.2
CuI,zincblende,68
FeTi,cesiumchloride,40.6
GaAs,zincblende,74.1
GaP,zincblende,102.5
GaSb,zincblende,43.9
HfC,rocksalt,225.9
HfN,rocksalt,373.6
HgSe,zincblende,43.5
HgTe,zincblende,32.2
InAs,zincblende,57.7
InP,zincblende,75.3
InSb,zincblende,30.5
KBr,rocksalt,393.6
KCl,rocksalt,436.6
KF,rocksalt,566.1
KH,rocksalt,57.8
KI,rocksalt,327.8
LaN,rocksalt,299.2
LaS,rocksalt,472.4
LaSe,rocksalt,405
LiCl,rocksalt,408.4
LiF,rocksalt,615
LiH,rocksalt,90.7
MgO,rocksalt,601.6
MgS,rocksalt,345.6
MnO,rocksalt,384.9
MnS,rocksalt,214.2
MnSe,rocksalt,155.6
NaBr,rocksalt,361.3
NaCl,rocksalt,411.3
NaF,rocksalt,572.8
NaH,rocksalt,56.5
NaI,rocksalt,287.9
NbC,rocksalt,141.4
NbN,rocksalt,236.4
NiAl,cesiumchloride,118.4
NiO,rocksalt,239.7
PbS,rocksalt,98.3
PbSe,rocksalt,100
PbTe,rocksalt,68.6
RbBr,rocksalt,394.6
RbCl,rocksalt,435.1
RbF,rocksalt,555.6
RbI,rocksalt,331.8
ScN,rocksalt,313.8
SiC,zincblende,66.9
SnTe,rocksalt,60.7
SrO,rocksalt,592
SrS,rocksalt,452.7
TaC,rocksalt,142.7
TiC,rocksalt,184.5
TiN,rocksalt,338.1
VN,rocksalt,218
VO,rocksalt,431.8
YN,rocksalt,299.2
YbN,rocksalt,359.8
ZnS,zincblende,205.2
ZnSe,zincblende,163.2
ZrC,rocksalt,207.1
ZrN,rocksalt,368.2